Major Version,Major Version Released,Supported,Current Minor,Minor Version Released,End of Support
18,2025-09-25,Yes,18.3,2026-02-23,2030-11-14
17,2024-09-26,Yes,17.9,2026-02-23,2029-11-08
16,2023-09-14,Yes,16.13,2026-02-23,2028-11-09
15,2022-10-13,Yes,15.17,2026-02-23,2027-11-11
14,2021-09-30,Yes,14.22,2026-02-23,2026-11-12
13,2020-09-24,No,13.23,2025-11-10,2025-11-13
12,2019-10-03,No,12.22,2024-11-18,2024-11-21
11,2018-10-18,No,11.22,2023-11-06,2023-11-09
10,2017-10-05,No,10.23,2022-11-07,2022-11-10
9.6,2016-09-29,No,9.6.24,2021-11-08,2021-11-11
9.5,2016-01-07,No,9.5.25,2021-02-08,2021-02-11
9.4,2014-12-18,No,9.4.26,2020-02-10,2020-02-13
9.3,2013-09-09,No,9.3.25,2018-11-05,2018-11-08
9.2,2012-09-10,No,9.2.24,2017-11-06,2017-11-09
9.1,2011-09-12,No,9.1.24,2016-10-24,2016-10-27
9.0,2010-09-20,No,9.0.23,2015-10-05,2015-10-08
8.4,2009-07-01,No,8.4.22,2014-07-21,2014-07-24
8.3,2008-02-04,No,8.3.23,2013-02-04,2013-02-07
8.2,2006-12-05,No,8.2.23,2011-12-01,2011-12-05
8.1,2005-11-08,No,8.1.23,2010-12-13,2010-11-08
8.0,2005-01-19,No,8.0.26,2010-10-01,2010-10-01
7.4,2003-11-17,No,7.4.30,2010-10-01,2010-10-01
7.3,2002-11-27,No,7.3.21,2008-01-03,2007-11-27
7.2,2002-02-04,No,7.2.8,2005-05-09,2007-02-04
7.1,2001-04-13,No,7.1.3,2001-08-17,2006-04-13
7.0,2000-05-08,No,7.0.3,2000-11-12,2005-05-08
6.5,1999-06-09,No,6.5.3,1999-11-04,2004-06-09
6.4,1998-10-30,No,6.4.2,1999-01-03,2003-10-30
6.3,1998-03-01,No,6.3.2,1998-04-18,2003-03-01
